Application,CPI_Rate,Divider,Port_Utilization,Vector_Capacity_Usage,L1_Bound,L2_Bound,L3_Bound,DRAM_Bound,Store_Bound,Front_End_Latency,Front_End_Bandwidth,Light_Operations,Heavy_Operations,Bad_Speculations,Average_CPU_Frequency,Total_Thread_Count,L1_Cache_Size,L2_Cache_Size,L3_Cache_Size,Number_of_Cores,DRAM_Bandwidth,DRAM_Capacity
1,2.09,0,25,0,25,0,0,0,12.5,0,43.7,38.8,4.9,12.5,3.8,9,0.256,1,8,4,22,0
2,1.712,0,9.8,0,16.9,0,0,0,2.7,24.7,10.2,21.2,2.7,9.6,3.8,73,0.256,1,8,4,22,0
3,1.029,0,5.5,0,11.3,0,0,0,3.8,21.4,6.8,29.2,1.8,4.3,3.8,115,0.256,1,8,4,22,0
4,1.409,0,14.2,0,7.6,0,0,0,3,16.9,9.9,22.1,2.6,5.7,3.8,41,0.256,1,8,4,22,0
5,0.939,0,13.2,0,2.9,0,0,0,3.3,13.1,8.3,28.9,2.6,6.8,3.8,30,0.256,1,8,4,22,0
6,1.138,0,7.5,0,12.4,0,0,0,2.9,22,7,30.2,2.2,4.9,3.7,181,0.256,1,8,4,22,0
7,0.91,0,6.7,0,6.7,0,0,0,0,17.4,13.1,55.5,0,13.1,3.8,16,0.256,1,8,4,22,0
8,1.341,0,4.9,0,0,0,0,0,0,0,14.6,24.4,0,4.9,3.7,5,0.256,1,8,4,22,0
9,0.965,0,25,0,6.7,0,0,0,0,3.7,12.8,36.9,1.5,8.2,3.9,17,0.256,1,8,4,22,0
10,1.09,0,15.3,0,10.3,0,0,0,2.2,20.9,7.8,30,1.5,11.7,3.8,181,0.256,1,8,4,22,0
11,0.855,0,20.1,0,8,0,0,0,2.8,9.8,10,34.4,2.7,4.8,3.8,211,0.256,1,8,4,22,0
12,1.263,0,0,0,23.1,0,0,0,0,0,0,34.7,0,5.8,3.8,6,0.256,1,8,4,22,0
13,1.435,0,10,0,12.2,0,0,0,4,22.4,12,22.5,1.9,8.7,3.8,347,0.256,1,8,4,22,0
14,0.761,0,9.2,0,8.8,0,0,0,4.4,13.3,8.3,35.2,3.5,4.1,3.7,51,0.256,1,8,4,22,0
15,0.855,0,10.4,0,9.6,0,0,0,3.1,19.6,8.5,29.6,1.1,8.8,3.8,55,0.256,1,8,4,22,0
16,1.556,0,36.5,0,15.9,0,0,0,0,31.7,23.8,31.7,0,15.9,3.4,7,0.256,1,8,4,22,0
17,1.074,0,5.6,0,14,0,0,0,2.8,18.4,8.5,22.7,1.5,8.2,3.6,15,0.256,1,8,4,22,0
18,1.206,0,10.3,0,13.6,0,0,0,4,18.5,10.5,31.2,1.2,10.3,3.8,581,0.256,1,8,4,22,0
19,1.533,0,24.2,0,10.7,0,0,0,0,22.9,4.3,15.7,0,0,4,15,0.256,1,8,4,22,0
20,1.267,0,14.6,0,0,0,0,0,7.3,0,7.3,44.2,1.5,11,3.7,9,0.256,1,8,4,22,0
1,2.09,0,25,0,25,0,0,0,12.5,0,43.7,38.8,4.9,12.5,3.8,9,0.256,1,8,4,22,0
2,1.712,0,9.8,0,16.9,0,0,0,2.7,24.7,10.2,21.2,2.7,9.6,3.8,73,0.256,1,8,4,22,0
3,1.029,0,5.5,0,11.3,0,0,0,3.8,21.4,6.8,29.2,1.8,4.3,3.8,115,0.256,1,8,4,22,0
4,1.409,0,14.2,0,7.6,0,0,0,3,16.9,9.9,22.1,2.6,5.7,3.8,41,0.256,1,8,4,22,0
5,0.939,0,13.2,0,2.9,0,0,0,3.3,13.1,8.3,28.9,2.6,6.8,3.8,30,0.256,1,8,4,22,0
6,1.138,0,7.5,0,12.4,0,0,0,2.9,22,7,30.2,2.2,4.9,3.7,181,0.256,1,8,4,22,0
7,0.91,0,6.7,0,6.7,0,0,0,0,17.4,13.1,55.5,0,13.1,3.8,16,0.256,1,8,4,22,0
8,1.341,0,4.9,0,0,0,0,0,0,0,14.6,24.4,0,4.9,3.7,5,0.256,1,8,4,22,0
9,0.965,0,25,0,6.7,0,0,0,0,3.7,12.8,36.9,1.5,8.2,3.9,17,0.256,1,8,4,22,0
10,1.09,0,15.3,0,10.3,0,0,0,2.2,20.9,7.8,30,1.5,11.7,3.8,181,0.256,1,8,4,22,0
11,0.855,0,20.1,0,8,0,0,0,2.8,9.8,10,34.4,2.7,4.8,3.8,211,0.256,1,8,4,22,0
12,1.263,0,0,0,23.1,0,0,0,0,0,0,34.7,0,5.8,3.8,6,0.256,1,8,4,22,0
13,1.435,0,10,0,12.2,0,0,0,4,22.4,12,22.5,1.9,8.7,3.8,347,0.256,1,8,4,22,0
14,0.761,0,9.2,0,8.8,0,0,0,4.4,13.3,8.3,35.2,3.5,4.1,3.7,51,0.256,1,8,4,22,0
15,0.855,0,10.4,0,9.6,0,0,0,3.1,19.6,8.5,29.6,1.1,8.8,3.8,55,0.256,1,8,4,22,0
16,1.556,0,36.5,0,15.9,0,0,0,0,31.7,23.8,31.7,0,15.9,3.4,7,0.256,1,8,4,22,0
17,1.074,0,5.6,0,14,0,0,0,2.8,18.4,8.5,22.7,1.5,8.2,3.6,15,0.256,1,8,4,22,0
18,1.206,0,10.3,0,13.6,0,0,0,4,18.5,10.5,31.2,1.2,10.3,3.8,581,0.256,1,8,4,22,0
19,1.533,0,24.2,0,10.7,0,0,0,0,22.9,4.3,15.7,0,0,4,15,0.256,1,8,4,22,0
20,1.267,0,14.6,0,0,0,0,0,7.3,0,7.3,44.2,1.5,11,3.7,9,0.256,1,8,4,22,0
